"user_id","status_id","created_at","screen_name","text","source","verified","city","domain"
"x980086351","x1072560274580914176","2018-12-11 18:34:31+00","KVB_Info","Linie 18 * Folgende Fahrt entfällt * (H) Klettenbergpark 19:42h - (H) Barbarossaplatz 19:54h - (H) Neumarkt 19:57h - (H) Dom/Hbf 20:01h - (H) Ebertplatz 20:04h - (H) Reichenspergerpl. 20:05h - (H) Wiener Platz 20:12h - (H) Herler Str. 20:15h * https://t.co/6dZI5sp8vO","MOFIS Tweets","f","koeln","train"
"x871704365186375680","x1072551462457278464","2018-12-11 17:59:30+00","VbbInfo","#187 Lankwitz, Halbauer Weg hat 29 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 18:59 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072551460414590976","2018-12-11 17:59:29+00","VbbInfo","#245 S+U Zoologischer Garten hat 14 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 18:59 11.12.18","VBBInfo","f","berlin","train"
"x166866601","x1072550759030497280","2018-12-11 17:56:42+00","SBahnBerlin","#S3: Zum Notarzteinsatz. Um es ein wenig zu sortieren: Ein 10-Minutentakt wird nur zwischen #Ostbahnhof und #Köpenick angeboten. / Zwischen #Friedrichshagen und #Rahnsdorf ist ein Ersatzverkehr mit Bussen eingerichtet und zwischen Friedrichshagen und Erkner verkehrt ein Pendelzug","TweetDeck","t","berlin","train"
"x871704365186375680","x1072550507477114880","2018-12-11 17:55:42+00","VbbInfo","#158 S Buch hat 31 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 18:55 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072549730654277632","2018-12-11 17:52:37+00","VbbInfo","#893 Prerower Platz hat 15 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 18:52 11.12.18","VBBInfo","f","berlin","train"
"x166866601","x1072549222719864832","2018-12-11 17:50:36+00","SBahnBerlin","Zur #S3: Ein Ersatzbus ist eingetroffen. Demnächst folgen weitere. Haltestellen: #Friedrichshagen: Tram-Haltestelle (Tram 60, 61 Richtung Köpenick bzw. Rahnsdorf) / #Rahnsdorf: Bushaltestelle am Bahnhof. https://t.co/M8PZQfTKuT","TweetDeck","t","berlin","train"
"x980086351","x1072549203694534656","2018-12-11 17:50:31+00","KVB_Info","Linie 18 * Folgende Fahrt entfällt * (H) Thielenbruch 18:58h - (H) Vischeringstr. 19:04h - (H) Herler Str. 19:07h - (H) Wiener Platz 19:10h - (H) Reichenspergerpl. 19:18h - (H) Ebertplatz 19:19h - (H) Dom/Hbf 19:22h - (H) Neumarkt 19:26h - (H)... https://t.co/GMCEAlEzAE","MOFIS Tweets","f","koeln","train"
"x871704365186375680","x1072548948420820992","2018-12-11 17:49:30+00","VbbInfo","#S41 Ringbahn hat 6 Minuten Verspätung https://t.co/0mGQQojs3z @SBahnBerlin 18:49 11.12.18","VBBInfo","f","berlin","train"
"x871704365186375680","x1072548946071994368","2018-12-11 17:49:30+00","VbbInfo","#M49 S+U Zoologischer Garten hat 12 Minuten Verspätung https://t.co/FEsXfh9Fz7 #BVG 18:49 11.12.18","VBBInfo","f","berlin","train"
